scouting_rank,player_name,club_name,competition_name,country_name,age_at_season_end,position,minutes,goals,assists,goals_per90,assists_per90,market_value_in_eur,breakout_probability_pct
1,Troy Parrott,AZ Alkmaar,eredivisie,Netherlands,24,Attack,2206.0,16.0,5.0,0.653,0.204,25000000.0,96.47918561074871
2,Yarek Gasiorowski,PSV Eindhoven,eredivisie,Netherlands,21,Defender,2144.0,3.0,2.0,0.126,0.084,18000000.0,96.07153811171196
3,Samuel Dahl,SL Benfica,liga-portugal,Portugal,23,Defender,2863.0,1.0,1.0,0.031,0.031,13000000.0,94.73432610619145
4,Wouter Goes,AZ Alkmaar,eredivisie,Netherlands,22,Defender,2751.0,1.0,0.0,0.033,0.0,15000000.0,94.70068351055488
5,Mika Godts,Ajax Amsterdam,eredivisie,Netherlands,21,Attack,2686.0,17.0,12.0,0.57,0.402,35000000.0,94.67661653171007
6,Joaquin Seys,Club Brugge KV,jupiler-pro-league,Belgium,21,Defender,2115.0,1.0,3.0,0.043,0.128,20000000.0,94.18703906162789
7,Ahmetcan Kaplan,NEC Nijmegen,eredivisie,Netherlands,23,Defender,2046.0,1.0,0.0,0.044,0.0,7000000.0,94.1615890934471
8,Ryan Flamingo,PSV Eindhoven,eredivisie,Netherlands,24,Defender,1661.0,3.0,1.0,0.163,0.054,14000000.0,93.74888908852922
9,Ruud Nijstad,FC Twente Enschede,eredivisie,Netherlands,18,Defender,1675.0,1.0,1.0,0.054,0.054,10000000.0,93.6875480512567
10,Anis Hadj Moussa,Feyenoord Rotterdam,eredivisie,Netherlands,24,Attack,2554.0,11.0,6.0,0.388,0.211,23000000.0,93.68093904646656
11,Alan Varela,FC Porto,liga-portugal,Portugal,25,Midfield,2322.0,2.0,0.0,0.078,0.0,32000000.0,93.5875484816487
12,Kees Smit,AZ Alkmaar,eredivisie,Netherlands,20,Midfield,2139.0,3.0,3.0,0.126,0.126,25000000.0,93.45783981832083
13,Nathan De Cat,RSC Anderlecht,jupiler-pro-league,Belgium,18,Midfield,2262.0,2.0,4.0,0.08,0.159,27000000.0,93.43315049321534
14,Matte Smets,KRC Genk,jupiler-pro-league,Belgium,22,Defender,2700.0,0.0,1.0,0.0,0.033,10000000.0,93.40108932055409
15,Youri Baas,Ajax Amsterdam,eredivisie,Netherlands,23,Defender,2760.0,4.0,1.0,0.13,0.033,20000000.0,93.36335045182375
16,Luciano Valente,Feyenoord Rotterdam,eredivisie,Netherlands,23,Midfield,2552.0,2.0,7.0,0.071,0.247,18000000.0,93.10461718574041
17,António Silva,SL Benfica,liga-portugal,Portugal,23,Defender,1858.0,1.0,1.0,0.048,0.048,25000000.0,92.95873915223336
18,Joel Ordóñez,Club Brugge KV,jupiler-pro-league,Belgium,22,Defender,1822.0,3.0,0.0,0.148,0.0,33000000.0,92.891422933365
19,Sergiño Dest,PSV Eindhoven,eredivisie,Netherlands,26,Defender,2204.0,1.0,7.0,0.041,0.286,18000000.0,92.70331070411936
20,Ibrahima Ba,FC Famalicão,liga-portugal,Portugal,21,Defender,1655.0,1.0,1.0,0.054,0.054,12000000.0,92.67438116419497
21,Oussama Targhalline,Feyenoord Rotterdam,eredivisie,Netherlands,24,Midfield,1911.0,2.0,4.0,0.094,0.188,16000000.0,92.661621829121
22,Givairo Read,Feyenoord Rotterdam,eredivisie,Netherlands,20,Defender,941.0,1.0,3.0,0.096,0.287,25000000.0,92.59423626077145
23,Gjivai Zechiël,FC Utrecht,eredivisie,Netherlands,22,Midfield,2811.0,8.0,7.0,0.256,0.224,10000000.0,92.50432978367478
24,Gonçalo Inácio,Sporting CP,liga-portugal,Portugal,25,Defender,2506.0,2.0,3.0,0.072,0.108,40000000.0,92.4825339921805
25,Anan Khalaili,Union Saint-Gilloise,jupiler-pro-league,Belgium,22,Midfield,2272.0,2.0,1.0,0.079,0.04,23000000.0,92.45334164045755
26,Iván Fresneda,Sporting CP,liga-portugal,Portugal,22,Defender,1605.0,1.0,0.0,0.056,0.0,15000000.0,92.38093316990025
27,Aleksandar Stanković,Club Brugge KV,jupiler-pro-league,Belgium,21,Midfield,2291.0,4.0,2.0,0.157,0.079,32000000.0,92.20014440502231
28,Raphael Onyedika,Club Brugge KV,jupiler-pro-league,Belgium,25,Midfield,1688.0,1.0,0.0,0.053,0.0,23000000.0,91.93630797670941
29,Nicolò Tresoldi,Club Brugge KV,jupiler-pro-league,Belgium,22,Attack,1811.0,13.0,3.0,0.646,0.149,25000000.0,91.86912552387311
30,Mihajlo Cvetkovic,RSC Anderlecht,jupiler-pro-league,Belgium,19,Attack,1130.0,5.0,2.0,0.398,0.159,10000000.0,91.8460104900997
31,Bright Arrey-Mbi,SC Braga,liga-portugal,Portugal,23,Defender,1829.0,0.0,0.0,0.0,0.0,9000000.0,91.82252047507161
32,Josip Sutalo,Ajax Amsterdam,eredivisie,Netherlands,26,Defender,1797.0,0.0,0.0,0.0,0.0,12000000.0,91.77066958275697
33,Jayden Oosterwolde,Fenerbahce,super-lig,Türkiye,25,Defender,2626.0,0.0,0.0,0.0,0.0,20000000.0,91.76325274944905
34,Jakub Kiwior,FC Porto,liga-portugal,Portugal,26,Defender,2217.0,0.0,1.0,0.0,0.041,35000000.0,91.67913373505682
35,Matthieu Epolo,Standard Liège,jupiler-pro-league,Belgium,21,Goalkeeper,1890.0,0.0,0.0,0.0,0.0,8000000.0,91.40134576084482
36,Souffian El Karouani,FC Utrecht,eredivisie,Netherlands,26,Defender,2835.0,2.0,11.0,0.063,0.349,15000000.0,91.21094035195021
37,Mats Rots,FC Twente Enschede,eredivisie,Netherlands,20,Defender,2955.0,4.0,4.0,0.122,0.122,12000000.0,90.98501881049292
38,Paul Wanner,PSV Eindhoven,eredivisie,Netherlands,21,Midfield,1641.0,3.0,3.0,0.165,0.165,22000000.0,90.97986994819505
39,Tomás Araújo,SL Benfica,liga-portugal,Portugal,24,Defender,1684.0,1.0,2.0,0.053,0.107,30000000.0,90.69574005382904
40,Victor Froholdt,FC Porto,liga-portugal,Portugal,20,Midfield,2875.0,6.0,6.0,0.188,0.188,50000000.0,90.64639471505343
41,Anass Salah-Eddine,PSV Eindhoven,eredivisie,Netherlands,24,Defender,1092.0,0.0,1.0,0.0,0.082,12000000.0,90.49916168227742
42,Elijah Dijkstra,AZ Alkmaar,eredivisie,Netherlands,20,Defender,1272.0,0.0,0.0,0.0,0.0,6000000.0,90.48271676681063
43,Keisuke Goto,Sint-Truidense VV,jupiler-pro-league,Belgium,21,Attack,2081.0,10.0,5.0,0.432,0.216,10000000.0,90.42098150631232
44,Bart van Rooij,FC Twente Enschede,eredivisie,Netherlands,25,Defender,2928.0,3.0,5.0,0.092,0.154,10000000.0,90.08013332904075
45,Kodai Sano,NEC Nijmegen,eredivisie,Netherlands,23,Midfield,3060.0,3.0,7.0,0.088,0.206,12000000.0,89.93635768400881
46,Kyriani Sabbe,Club Brugge KV,jupiler-pro-league,Belgium,21,Defender,1510.0,2.0,3.0,0.119,0.179,8000000.0,89.85170979211303
47,Alexandre Penetra,AZ Alkmaar,eredivisie,Netherlands,25,Defender,2847.0,2.0,1.0,0.063,0.032,10000000.0,89.82987574751618
48,Alberto Costa,FC Porto,liga-portugal,Portugal,23,Defender,2227.0,1.0,9.0,0.04,0.364,18000000.0,89.76349246095084
49,Anel Ahmedhodzic,Feyenoord Rotterdam,eredivisie,Netherlands,27,Defender,2210.0,0.0,1.0,0.0,0.041,10000000.0,89.64890097313145
50,Amar Dedić,SL Benfica,liga-portugal,Portugal,24,Defender,1903.0,1.0,5.0,0.047,0.236,16000000.0,89.63067910482464
51,Stije Resink,FC Groningen,eredivisie,Netherlands,23,Midfield,2090.0,5.0,5.0,0.215,0.215,7000000.0,89.5613529179235
52,Peer Koopmeiners,AZ Alkmaar,eredivisie,Netherlands,26,Midfield,2134.0,2.0,0.0,0.084,0.0,12000000.0,89.51188844560906
53,Maxi Araújo,Sporting CP,liga-portugal,Portugal,26,Defender,2215.0,5.0,4.0,0.203,0.163,35000000.0,89.3462254656909
54,Oliver Braude,SC Heerenveen,eredivisie,Netherlands,22,Defender,2820.0,0.0,5.0,0.0,0.16,5000000.0,89.15137180027794
55,Mauro Júnior,PSV Eindhoven,eredivisie,Netherlands,27,Defender,2086.0,1.0,9.0,0.043,0.388,18000000.0,89.1119662717373
56,Gustaf Lagerbielke,SC Braga,liga-portugal,Portugal,26,Defender,2391.0,2.0,0.0,0.075,0.0,10000000.0,88.84867610789651
57,Carlos Forbs,Club Brugge KV,jupiler-pro-league,Belgium,22,Attack,2029.0,3.0,7.0,0.133,0.31,20000000.0,88.81305815817421
58,Stav Lemkin,FC Twente Enschede,eredivisie,Netherlands,23,Defender,2040.0,0.0,1.0,0.0,0.044,6000000.0,88.79795288604426
59,Franjo Ivanović,SL Benfica,liga-portugal,Portugal,23,Attack,869.0,6.0,3.0,0.621,0.311,15000000.0,88.66819880864396
60,Sami Ouaissa,NEC Nijmegen,eredivisie,Netherlands,22,Midfield,2644.0,6.0,7.0,0.204,0.238,8000000.0,88.6349732730077
61,Zeno Debast,Sporting CP,liga-portugal,Portugal,23,Defender,1177.0,0.0,2.0,0.0,0.153,28000000.0,88.57816441879758
62,Nathan-Dylan Saliba,RSC Anderlecht,jupiler-pro-league,Belgium,22,Midfield,1751.0,2.0,1.0,0.103,0.051,7500000.0,88.56581078539222
63,Gabriel Moscardo,SC Braga,liga-portugal,Portugal,21,Midfield,941.0,0.0,0.0,0.0,0.0,7000000.0,88.46612885250264
64,Dies Janse,FC Groningen,eredivisie,Netherlands,20,Defender,2724.0,2.0,2.0,0.066,0.066,6500000.0,88.43931246874325
65,Konstantinos Tzolakis,Olympiakos Syndesmos Filathlon Peiraios,super-league-1,Greece,24,Goalkeeper,2340.0,0.0,0.0,0.0,0.0,18000000.0,88.31263340314428
66,Enzo Barrenechea,SL Benfica,liga-portugal,Portugal,25,Midfield,1798.0,1.0,0.0,0.05,0.0,12000000.0,88.30748682710507
67,Martim Fernandes,FC Porto,liga-portugal,Portugal,20,Defender,1119.0,1.0,1.0,0.08,0.08,12000000.0,88.24319822382449
68,Diogo Sousa,Vitória Guimarães SC,liga-portugal,Portugal,20,Midfield,1162.0,1.0,1.0,0.077,0.077,8000000.0,88.22820333612452
69,Zeno Van Den Bosch,Royal Antwerp FC,jupiler-pro-league,Belgium,23,Defender,2470.0,0.0,0.0,0.0,0.0,6000000.0,88.18724783973036
70,Kamiel Van De Perre,Union Saint-Gilloise,jupiler-pro-league,Belgium,22,Midfield,1619.0,0.0,3.0,0.0,0.167,8000000.0,88.04993140405973
71,Jorthy Mokio,Ajax Amsterdam,eredivisie,Netherlands,18,Midfield,1323.0,2.0,2.0,0.136,0.136,8000000.0,88.00412558284786
72,Oumar Camara,Vitória Guimarães SC,liga-portugal,Portugal,19,Attack,1504.0,5.0,2.0,0.299,0.12,8000000.0,87.91961519165771
73,Lorenzo Pirola,Olympiakos Syndesmos Filathlon Peiraios,super-league-1,Greece,24,Defender,1426.0,1.0,1.0,0.063,0.063,11000000.0,87.90688770525954
74,Esmir Bajraktarevic,PSV Eindhoven,eredivisie,Netherlands,21,Attack,1062.0,4.0,5.0,0.339,0.424,8000000.0,87.81376068403091
75,Caleb Yirenkyi,FC Nordsjaelland,superliga,Denmark,20,Midfield,1804.0,2.0,5.0,0.1,0.249,10000000.0,87.70337704158094
76,Romeo Vermant,Club Brugge KV,jupiler-pro-league,Belgium,22,Attack,1070.0,7.0,2.0,0.589,0.168,9000000.0,87.65150890659254
77,Arseniy Batagov,Trabzonspor,super-lig,Türkiye,24,Defender,2115.0,0.0,2.0,0.0,0.085,11000000.0,87.5913844474633
78,Tuur Rommens,KVC Westerlo,jupiler-pro-league,Belgium,23,Defender,1223.0,0.0,0.0,0.0,0.0,7000000.0,87.58873441199913
79,Yassine Titraoui,Royal Charleroi Sporting Club,jupiler-pro-league,Belgium,23,Midfield,2367.0,4.0,0.0,0.152,0.0,7000000.0,87.46791663637231
80,Morten Hjulmand,Sporting CP,liga-portugal,Portugal,27,Midfield,2325.0,3.0,4.0,0.116,0.155,45000000.0,87.41596445380986
81,Oscar Gloukh,Ajax Amsterdam,eredivisie,Netherlands,22,Midfield,1560.0,6.0,6.0,0.346,0.346,13000000.0,87.30162831956622
82,Nazinho,Cercle Brugge,jupiler-pro-league,Belgium,23,Defender,2074.0,3.0,4.0,0.13,0.174,6000000.0,87.07174569204403
83,Nilson Angulo,RSC Anderlecht,jupiler-pro-league,Belgium,23,Attack,1902.0,6.0,7.0,0.284,0.331,17000000.0,87.0540630265533
84,Matej Kovar,PSV Eindhoven,eredivisie,Netherlands,26,Goalkeeper,2790.0,0.0,0.0,0.0,0.0,8000000.0,86.93263450551616
85,Sean Steur,Ajax Amsterdam,eredivisie,Netherlands,18,Midfield,1135.0,1.0,1.0,0.079,0.079,7000000.0,86.91771620712154
86,Alonzo Engwanda,FC Utrecht,eredivisie,Netherlands,23,Midfield,2925.0,0.0,1.0,0.0,0.031,8000000.0,86.88631238452795
87,Vangelis Pavlidis,SL Benfica,liga-portugal,Portugal,28,Attack,2669.0,22.0,4.0,0.742,0.135,28000000.0,86.85436754246417
88,Diogo Costa,FC Porto,liga-portugal,Portugal,27,Goalkeeper,2907.0,0.0,0.0,0.0,0.0,40000000.0,86.81522237776348
89,Prince Amoako Junior,FC Nordsjaelland,superliga,Denmark,19,Attack,1672.0,6.0,4.0,0.323,0.215,7000000.0,86.71509990580793
90,Eduardo Quaresma,Sporting CP,liga-portugal,Portugal,24,Defender,1186.0,2.0,2.0,0.152,0.152,17000000.0,86.58254293714116
91,Zakaria El Ouahdi,KRC Genk,jupiler-pro-league,Belgium,25,Defender,2105.0,7.0,2.0,0.299,0.086,17000000.0,86.48540564662855
92,Ousmane Diomande,Sporting CP,liga-portugal,Portugal,23,Defender,1297.0,0.0,1.0,0.0,0.069,42000000.0,86.42874722501395
93,Başar Önal,NEC Nijmegen,eredivisie,Netherlands,22,Attack,2070.0,7.0,8.0,0.304,0.348,7000000.0,86.42841879120398
94,Mathias de Amorim,FC Famalicão,liga-portugal,Portugal,22,Midfield,2470.0,4.0,2.0,0.146,0.073,10000000.0,86.41534830536527
95,Richard Ríos,SL Benfica,liga-portugal,Portugal,26,Midfield,2284.0,5.0,4.0,0.197,0.158,25000000.0,86.41525520941096
96,Kjell Scherpen,Union Saint-Gilloise,jupiler-pro-league,Belgium,26,Goalkeeper,1935.0,0.0,0.0,0.0,0.0,8000000.0,86.40695851144659
97,Franculino,FC Midtjylland,superliga,Denmark,22,Attack,1220.0,16.0,3.0,1.18,0.221,22000000.0,86.3666213836148
98,Geovany Quenda,Sporting CP,liga-portugal,Portugal,19,Attack,875.0,2.0,5.0,0.206,0.514,42000000.0,86.26431929732777
99,Jordan Bos,Feyenoord Rotterdam,eredivisie,Netherlands,24,Defender,2058.0,4.0,9.0,0.175,0.394,12000000.0,86.08636720050306
100,Gorby,SC Braga,liga-portugal,Portugal,24,Midfield,1714.0,1.0,0.0,0.053,0.0,9000000.0,86.01756510086774
101,Jacob Trenskow,SC Heerenveen,eredivisie,Netherlands,26,Attack,2680.0,12.0,5.0,0.403,0.168,7500000.0,85.99931642469247
102,Anton Gaaei,Ajax Amsterdam,eredivisie,Netherlands,24,Defender,1793.0,1.0,4.0,0.05,0.201,5000000.0,85.9790002802784
103,Christos Zafeiris,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,super-league-1,Greece,23,Midfield,925.0,0.0,0.0,0.0,0.0,11000000.0,85.92531768638088
104,Andreas Schjelderup,SL Benfica,liga-portugal,Portugal,22,Attack,1733.0,7.0,6.0,0.364,0.312,30000000.0,85.88686713948869
105,Leo Sauer,Feyenoord Rotterdam,eredivisie,Netherlands,21,Attack,1419.0,3.0,2.0,0.19,0.127,7000000.0,85.8746613919019
106,Juan,Göztepe,super-lig,Türkiye,24,Attack,2588.0,11.0,5.0,0.383,0.174,12000000.0,85.79843170091391
107,Jerdy Schouten,PSV Eindhoven,eredivisie,Netherlands,29,Midfield,2381.0,1.0,2.0,0.038,0.076,20000000.0,85.68779378762879
108,Bastien Meupiyou,FC Alverca,liga-portugal,Portugal,20,Defender,2619.0,0.0,0.0,0.0,0.0,7000000.0,85.6530619301836
109,Hyeon-gyu Oh,KRC Genk,jupiler-pro-league,Belgium,25,Attack,1109.0,6.0,3.0,0.487,0.243,15000000.0,85.64588515250311
110,Amorim,FC Alverca,liga-portugal,Portugal,21,Midfield,1634.0,2.0,0.0,0.11,0.0,8000000.0,85.5974803245583
111,Mexx Meerdink,AZ Alkmaar,eredivisie,Netherlands,23,Attack,881.0,5.0,1.0,0.511,0.102,8000000.0,85.57047821606925
112,Jan Bednarek,FC Porto,liga-portugal,Portugal,30,Defender,2680.0,2.0,0.0,0.067,0.0,11000000.0,85.5463362458935
113,Renato Nhaga,Casa Pia AC,liga-portugal,Portugal,19,Midfield,1171.0,2.0,0.0,0.154,0.0,6000000.0,85.3137167948142
114,Mario Dorgeles,SC Braga,liga-portugal,Portugal,22,Midfield,990.0,2.0,1.0,0.182,0.091,10000000.0,85.29417853349992
115,João Simões,Sporting CP,liga-portugal,Portugal,19,Midfield,755.0,0.0,1.0,0.0,0.119,15000000.0,85.25863901108184
116,Kiliann Sildillia,PSV Eindhoven,eredivisie,Netherlands,24,Defender,1264.0,2.0,3.0,0.142,0.214,7000000.0,85.20712177373277
117,Mujaid Sadick,KRC Genk,jupiler-pro-league,Belgium,26,Defender,2473.0,2.0,0.0,0.073,0.0,5000000.0,85.11150073369416
118,Darío Osorio,FC Midtjylland,superliga,Denmark,22,Attack,1337.0,4.0,6.0,0.269,0.404,15000000.0,85.00424784433898
119,Ismael Saibari,PSV Eindhoven,eredivisie,Netherlands,25,Midfield,2146.0,15.0,8.0,0.629,0.336,40000000.0,84.95659560851867
120,Lukas Hornicek,SC Braga,liga-portugal,Portugal,24,Goalkeeper,2960.0,0.0,0.0,0.0,0.0,18000000.0,84.94683143287125
121,Denso Kasius,AZ Alkmaar,eredivisie,Netherlands,24,Defender,1219.0,2.0,2.0,0.148,0.148,6000000.0,84.88755050447816
122,Redouane Halhal,KV Mechelen,jupiler-pro-league,Belgium,23,Defender,2039.0,1.0,2.0,0.044,0.088,5000000.0,84.7803868402606
123,Lucas Lund,Viborg FF,superliga,Denmark,26,Goalkeeper,1980.0,0.0,0.0,0.0,0.0,2000000.0,84.76242113196083
124,Dominik Kotarski,FC Copenhagen,superliga,Denmark,26,Goalkeeper,1980.0,0.0,0.0,0.0,0.0,5000000.0,84.7536357326692
125,Tsuyoshi Watanabe,Feyenoord Rotterdam,eredivisie,Netherlands,29,Defender,2637.0,2.0,0.0,0.068,0.0,10000000.0,84.73528464856014
126,Gustavo Sá,FC Famalicão,liga-portugal,Portugal,22,Midfield,2711.0,4.0,2.0,0.133,0.066,25000000.0,84.70986784493535
127,Luís Guilherme,Sporting CP,liga-portugal,Portugal,20,Attack,634.0,1.0,0.0,0.142,0.0,12000000.0,84.67732173086465
128,Joey Veerman,PSV Eindhoven,eredivisie,Netherlands,28,Midfield,2370.0,8.0,14.0,0.304,0.532,25000000.0,84.64615660743975
129,Thijs Kraaijeveld,Feyenoord Rotterdam,eredivisie,Netherlands,19,Midfield,745.0,0.0,0.0,0.0,0.0,5000000.0,84.54999246689489
130,Ibrahima Sory Bangoura,KRC Genk,jupiler-pro-league,Belgium,22,Midfield,644.0,0.0,0.0,0.0,0.0,6000000.0,84.50135613834193
131,Gianluca Prestianni,SL Benfica,liga-portugal,Portugal,20,Attack,1546.0,3.0,6.0,0.175,0.349,20000000.0,84.40978069219905
132,Mathias Delorge,KAA Gent,jupiler-pro-league,Belgium,22,Midfield,1053.0,0.0,2.0,0.0,0.171,7000000.0,84.33186944829028
133,Christ Inao Oulaï,Trabzonspor,super-lig,Türkiye,20,Midfield,2078.0,2.0,4.0,0.087,0.173,23000000.0,84.25840430615627
134,Tobe Leysen,Oud-Heverlee Leuven,jupiler-pro-league,Belgium,24,Goalkeeper,2138.0,0.0,0.0,0.0,0.0,5000000.0,84.21036143517496
135,Kévin Boma,GD Estoril Praia,liga-portugal,Portugal,24,Defender,1722.0,1.0,1.0,0.052,0.052,6000000.0,84.19732617373725
136,Anatoliy Trubin,SL Benfica,liga-portugal,Portugal,25,Goalkeeper,2880.0,0.0,0.0,0.0,0.0,25000000.0,84.15581836426033
137,Wagner Pina,Trabzonspor,super-lig,Türkiye,24,Defender,2444.0,0.0,7.0,0.0,0.258,11000000.0,84.0633954694257
138,Andreas Jungdal,KVC Westerlo,jupiler-pro-league,Belgium,24,Goalkeeper,2700.0,0.0,0.0,0.0,0.0,3500000.0,84.00709559393955
139,Víctor Gómez,SC Braga,liga-portugal,Portugal,26,Defender,2480.0,1.0,6.0,0.036,0.218,10000000.0,83.96661235247775
140,Leo Kokubo,Sint-Truidense VV,jupiler-pro-league,Belgium,25,Goalkeeper,2700.0,0.0,0.0,0.0,0.0,5000000.0,83.88784644682123
141,Sondre Ørjasæter,FC Twente Enschede,eredivisie,Netherlands,23,Attack,2154.0,3.0,6.0,0.125,0.251,7000000.0,83.88323067158133
142,Luis Suárez,Sporting CP,liga-portugal,Portugal,29,Attack,2699.0,28.0,7.0,0.934,0.233,30000000.0,83.86884965117275
143,Promise David,Union Saint-Gilloise,jupiler-pro-league,Belgium,25,Attack,1498.0,9.0,2.0,0.541,0.12,17000000.0,83.79950975230003
144,Check Keita,Royal Charleroi Sporting Club,jupiler-pro-league,Belgium,23,Defender,2541.0,3.0,0.0,0.106,0.0,3500000.0,83.79844226263607
145,Kenneth Taylor,Ajax Amsterdam,eredivisie,Netherlands,24,Midfield,1280.0,2.0,4.0,0.141,0.281,25000000.0,83.71017624695574
146,Kevin Mac Allister,Union Saint-Gilloise,jupiler-pro-league,Belgium,29,Defender,2224.0,1.0,1.0,0.04,0.04,12000000.0,83.64532984893593
147,Mohamed Touré,Randers FC,superliga,Denmark,22,Attack,1117.0,4.0,4.0,0.322,0.322,8000000.0,83.5959842830677
148,Ousmane Diao,FC Midtjylland,superliga,Denmark,22,Defender,1112.0,1.0,1.0,0.081,0.081,8000000.0,83.59269661604442
149,Robert-Jan Vanwesemael,Sint-Truidense VV,jupiler-pro-league,Belgium,24,Defender,2208.0,1.0,1.0,0.041,0.041,3000000.0,83.42353684289536
150,Andreas Ntoi,Rio Ave FC,liga-portugal,Portugal,23,Defender,2347.0,1.0,2.0,0.038,0.077,5000000.0,83.39912281377079
151,Ibe Hautekiet,Standard Liège,jupiler-pro-league,Belgium,24,Defender,2047.0,2.0,1.0,0.088,0.044,4000000.0,83.39841691427394
152,Noah Nartey,Bröndby IF,superliga,Denmark,21,Midfield,1154.0,4.0,3.0,0.312,0.234,15000000.0,83.38007470481082
153,Oskar Pietuszewski,FC Porto,liga-portugal,Portugal,18,Attack,820.0,3.0,4.0,0.329,0.439,25000000.0,83.33723017516911
154,William Gomes,FC Porto,liga-portugal,Portugal,20,Attack,1167.0,8.0,1.0,0.617,0.077,25000000.0,83.1580853529897
155,Rome-Jayden Owusu-Oduro,AZ Alkmaar,eredivisie,Netherlands,22,Goalkeeper,2052.0,0.0,1.0,0.0,0.044,6000000.0,83.14805540072827
156,José Marsà,KV Mechelen,jupiler-pro-league,Belgium,24,Defender,1699.0,1.0,3.0,0.053,0.159,3500000.0,83.12987310925747
157,Diogo Travassos,Moreirense FC,liga-portugal,Portugal,22,Defender,2436.0,5.0,3.0,0.185,0.111,6000000.0,82.99801462134039
158,Konstantinos Karetsas,KRC Genk,jupiler-pro-league,Belgium,19,Midfield,1940.0,0.0,11.0,0.0,0.51,35000000.0,82.77750365404178
159,Mahamadou Doumbia,Royal Antwerp FC,jupiler-pro-league,Belgium,22,Midfield,529.0,2.0,1.0,0.34,0.17,9000000.0,82.7577671560975
160,Steve Ngoura,Cercle Brugge,jupiler-pro-league,Belgium,21,Attack,1831.0,4.0,5.0,0.197,0.246,5000000.0,82.52444395995312
161,Elías Ólafsson,FC Midtjylland,superliga,Denmark,26,Goalkeeper,1620.0,0.0,0.0,0.0,0.0,3000000.0,82.50667637252559
162,Roggerio Nyakossi,Oud-Heverlee Leuven,jupiler-pro-league,Belgium,22,Defender,1530.0,3.0,0.0,0.176,0.0,5000000.0,82.47248183362753
163,Hyeon-gyu Oh,Beşiktaş Jimnastik Kulübü,super-lig,Türkiye,25,Attack,1088.0,6.0,3.0,0.496,0.248,15000000.0,82.28419306782271
164,Pau Víctor,SC Braga,liga-portugal,Portugal,25,Attack,2269.0,10.0,4.0,0.397,0.159,15000000.0,82.2497733844109
165,Yassir Zabiri,FC Famalicão,liga-portugal,Portugal,21,Attack,660.0,4.0,0.0,0.545,0.0,9000000.0,82.13938794748495
166,Artem Stepanov,FC Utrecht,eredivisie,Netherlands,19,Attack,817.0,4.0,1.0,0.441,0.11,5000000.0,82.11681184028264
167,Lucas Rosa,Ajax Amsterdam,eredivisie,Netherlands,26,Defender,2145.0,0.0,0.0,0.0,0.0,5000000.0,82.0441505657493
168,Christos Mouzakitis,Olympiakos Syndesmos Filathlon Peiraios,super-league-1,Greece,20,Midfield,1084.0,1.0,2.0,0.083,0.166,25000000.0,82.02898532039634
169,Maas Willemsen,SC Heerenveen,eredivisie,Netherlands,23,Defender,2559.0,1.0,0.0,0.035,0.0,4500000.0,81.97154023981206
170,Geny Catamo,Sporting CP,liga-portugal,Portugal,25,Attack,1954.0,6.0,4.0,0.276,0.184,25000000.0,81.72081636698233
171,Abbosbek Fayzullaev,Basaksehir FK,super-lig,Türkiye,23,Attack,1109.0,3.0,5.0,0.243,0.406,7000000.0,81.66575114945107
172,Quinten Timber,Feyenoord Rotterdam,eredivisie,Netherlands,25,Midfield,1317.0,2.0,4.0,0.137,0.273,25000000.0,81.65764656641372
173,Emin Bayram,KVC Westerlo,jupiler-pro-league,Belgium,23,Defender,2592.0,3.0,2.0,0.104,0.069,4000000.0,81.60775170257581
174,Sidiki Chérif,Fenerbahce,super-lig,Türkiye,20,Attack,645.0,2.0,0.0,0.279,0.0,18000000.0,81.52881431737492
175,Vitezslav Jaros,Ajax Amsterdam,eredivisie,Netherlands,25,Goalkeeper,1710.0,0.0,0.0,0.0,0.0,5000000.0,81.48782317441125
176,Thérence Koudou,KV Mechelen,jupiler-pro-league,Belgium,22,Defender,2229.0,4.0,1.0,0.162,0.04,4000000.0,81.44910254296047
177,Nacho Ferri,KVC Westerlo,jupiler-pro-league,Belgium,22,Attack,2238.0,7.0,4.0,0.282,0.161,6000000.0,81.43848421290184
178,Rodrigo Pinheiro,FC Famalicão,liga-portugal,Portugal,24,Defender,2572.0,3.0,2.0,0.105,0.07,5000000.0,81.43622785052126
179,Isak Jensen,AZ Alkmaar,eredivisie,Netherlands,23,Attack,2045.0,2.0,5.0,0.088,0.22,5000000.0,81.33148906593995
180,Rodrigo Mora,FC Porto,liga-portugal,Portugal,19,Midfield,1179.0,1.0,1.0,0.076,0.076,38000000.0,81.28623065557066
181,Taishi Brandon Nozawa,Royal Antwerp FC,jupiler-pro-league,Belgium,24,Goalkeeper,1845.0,0.0,0.0,0.0,0.0,3500000.0,81.23647132353551
182,Hyllarion Goore,KAA Gent,jupiler-pro-league,Belgium,21,Attack,1132.0,5.0,3.0,0.398,0.239,4000000.0,81.15259068774576
183,Joseph Opoku,Zulte Waregem,jupiler-pro-league,Belgium,21,Attack,2033.0,5.0,5.0,0.221,0.221,4500000.0,81.15240531325223
184,Bryan Reynolds,KVC Westerlo,jupiler-pro-league,Belgium,25,Defender,2594.0,2.0,1.0,0.069,0.035,3500000.0,80.98732196706362
185,Rihito Yamamoto,Sint-Truidense VV,jupiler-pro-league,Belgium,25,Midfield,2514.0,5.0,6.0,0.179,0.215,7000000.0,80.90249156836613
