scouting_rank,player_name,club_name,competition_name,country_name,age_at_season_end,position,minutes,goals,assists,goals_per90,assists_per90,market_value_in_eur,breakout_probability_pct
1683,Andrew Hjulsager,Vejle Boldklub,superliga,Denmark,31,Midfield,1068.0,2.0,2.0,0.169,0.169,400000.0,4.475179827641198
1684,Welinton Torrão,CD Santa Clara,liga-portugal,Portugal,27,Attack,669.0,1.0,2.0,0.135,0.269,400000.0,4.471792376244285
1685,Kristoffer Peterson,Fortuna Sittardia Combinatie,eredivisie,Netherlands,32,Attack,1691.0,3.0,2.0,0.16,0.106,450000.0,4.461617071246056
1686,Hidde Jurjus,FC Groningen,eredivisie,Netherlands,32,Goalkeeper,547.0,0.0,0.0,0.0,0.0,250000.0,4.425446725045768
1687,Mikkel Duelund,Vejle Boldklub,superliga,Denmark,29,Attack,1171.0,5.0,0.0,0.384,0.0,400000.0,4.413159351822934
1688,Lucas Pirard,Standard Liège,jupiler-pro-league,Belgium,31,Goalkeeper,810.0,0.0,0.0,0.0,0.0,350000.0,4.352287351862785
1689,Matías Rocha,FC Arouca,liga-portugal,Portugal,25,Defender,843.0,0.0,0.0,0.0,0.0,400000.0,4.287107595989705
1690,Tiago Hernández,Avs Futebol,liga-portugal,Portugal,24,Midfield,562.0,0.0,0.0,0.0,0.0,300000.0,4.2853803025535075
1691,Abdullah Yiğiter,Antalyaspor,super-lig,Türkiye,26,Goalkeeper,1260.0,0.0,0.0,0.0,0.0,250000.0,4.270650611708121
1692,Christian Manrique,Panetolikos Agrinio,super-league-1,Greece,28,Defender,1702.0,0.0,1.0,0.0,0.053,450000.0,4.226778420642269
1693,Fredrik Oldrup Jensen,NAC Breda,eredivisie,Netherlands,33,Midfield,755.0,0.0,1.0,0.0,0.119,250000.0,4.178306844033877
1694,Witi,CD Nacional,liga-portugal,Portugal,30,Attack,935.0,1.0,1.0,0.096,0.096,500000.0,4.121037932171215
1695,Jannes Wieckhoff,Heracles Almelo,eredivisie,Netherlands,26,Defender,847.0,0.0,0.0,0.0,0.0,350000.0,4.115197157157691
1696,Maxence Prévot,Oud-Heverlee Leuven,jupiler-pro-league,Belgium,29,Goalkeeper,562.0,0.0,0.0,0.0,0.0,300000.0,4.112084342956933
1697,Diego Esteban,Panetolikos Agrinio,super-league-1,Greece,26,Attack,1952.0,2.0,1.0,0.092,0.046,450000.0,4.062273454073706
1698,André Ayew,NAC Breda,eredivisie,Netherlands,37,Attack,881.0,1.0,0.0,0.102,0.0,250000.0,4.050198258096936
1699,Luuk Koopmans,Fortuna Sittardia Combinatie,eredivisie,Netherlands,33,Goalkeeper,900.0,0.0,0.0,0.0,0.0,200000.0,4.0495402255927875
1700,Christian Sørensen,Vejle Boldklub,superliga,Denmark,34,Defender,1132.0,0.0,2.0,0.0,0.159,200000.0,4.039184096481165
1701,Lasse Nielsen,Vejle Boldklub,superliga,Denmark,38,Defender,1690.0,0.0,0.0,0.0,0.0,25000.0,4.033712338296719
1702,Mathieu Maertens,Oud-Heverlee Leuven,jupiler-pro-league,Belgium,31,Midfield,1041.0,1.0,3.0,0.086,0.259,600000.0,3.9430029703187373
1703,Iyad Mohamed,Casa Pia AC,liga-portugal,Portugal,25,Midfield,948.0,1.0,0.0,0.095,0.0,400000.0,3.8809732169343496
1704,Volnei,Panserraikos Serres,super-league-1,Greece,26,Defender,1414.0,1.0,0.0,0.064,0.0,450000.0,3.8520057833145374
1705,Matthew Guillaumier,Panserraikos Serres,super-league-1,Greece,28,Midfield,493.0,0.0,0.0,0.0,0.0,450000.0,3.8423502977280863
1706,Alex Plat,FC Volendam,eredivisie,Netherlands,28,Midfield,584.0,0.0,0.0,0.0,0.0,300000.0,3.826218875257068
1707,Yannick Thoelen,Royal Antwerp FC,jupiler-pro-league,Belgium,36,Goalkeeper,496.0,0.0,0.0,0.0,0.0,200000.0,3.7733303505800264
1708,Brandley Kuwas,FC Volendam,eredivisie,Netherlands,34,Attack,2024.0,5.0,4.0,0.222,0.178,250000.0,3.765408975439107
1709,Jefferson Encada,CF Estrela Amadora,liga-portugal,Portugal,28,Defender,1544.0,0.0,2.0,0.0,0.117,400000.0,3.737394820012023
1710,Luciano Maidana,Athlitiki Enosi Kifisias,super-league-1,Greece,24,Defender,569.0,0.0,0.0,0.0,0.0,150000.0,3.710921841627677
1711,Ché Nunnely,Panserraikos Serres,super-league-1,Greece,27,Attack,861.0,1.0,1.0,0.105,0.105,500000.0,3.710406006866292
1712,Enes Keskin,Alanyaspor,super-lig,Türkiye,25,Midfield,748.0,0.0,1.0,0.0,0.12,350000.0,3.6996529718129896
1713,Fousseni Diabaté,Kasimpasa,super-lig,Türkiye,31,Attack,1979.0,1.0,4.0,0.045,0.182,800000.0,3.687634868597362
1714,Miguel Puche,FC Arouca,liga-portugal,Portugal,25,Attack,711.0,1.0,1.0,0.127,0.127,400000.0,3.6797820513166846
1715,Miguel Baeza,CD Nacional,liga-portugal,Portugal,26,Midfield,811.0,1.0,0.0,0.111,0.0,400000.0,3.6489494875311
1716,Daniel Høegh,Randers FC,superliga,Denmark,35,Defender,1828.0,3.0,1.0,0.148,0.049,100000.0,3.633053529331351
1717,Furkan Soyalp,Kayserispor,super-lig,Türkiye,31,Midfield,1809.0,1.0,0.0,0.05,0.0,400000.0,3.5667927583890884
1718,Deniz Türüç,Konyaspor,super-lig,Türkiye,33,Attack,1046.0,1.0,2.0,0.086,0.172,500000.0,3.5592201065779037
1719,Konstantinos Pomonis,A.G.S Asteras Tripolis,super-league-1,Greece,24,Defender,709.0,0.0,0.0,0.0,0.0,175000.0,3.5434529727772293
1720,Daniel Johnson,Fatih Karagümrük,super-lig,Türkiye,34,Midfield,1012.0,1.0,3.0,0.089,0.267,250000.0,3.499280797414387
1721,Michael Verrips,FCV Dender EH,jupiler-pro-league,Belgium,30,Goalkeeper,900.0,0.0,0.0,0.0,0.0,450000.0,3.4953869098410326
1722,Erick Ferigra,Athlitiki Enosi Larisas,super-league-1,Greece,27,Defender,1143.0,0.0,0.0,0.0,0.0,450000.0,3.4751441350328
1723,Abdurrahim Dursun,Gençlerbirliği Spor Kulübü,super-lig,Türkiye,28,Defender,661.0,0.0,1.0,0.0,0.136,250000.0,3.4448855550142343
1724,Mario Engels,Heracles Almelo,eredivisie,Netherlands,33,Attack,998.0,1.0,2.0,0.09,0.18,300000.0,3.4205869191160603
1725,Peter Ankersen,FC Nordsjaelland,superliga,Denmark,36,Defender,1780.0,3.0,1.0,0.152,0.051,100000.0,3.371579773923879
1726,Umut Meraş,Eyüpspor,super-lig,Türkiye,31,Defender,1828.0,0.0,2.0,0.0,0.098,400000.0,3.3688630271090294
1727,Svenn Crone,FC Fredericia,superliga,Denmark,31,Defender,1752.0,2.0,0.0,0.103,0.0,350000.0,3.3636344759449344
1728,Mory Konaté,KV Mechelen,jupiler-pro-league,Belgium,33,Midfield,1777.0,1.0,1.0,0.051,0.051,500000.0,3.3114617773920565
1729,Moses Opondo,FC Fredericia,superliga,Denmark,29,Midfield,803.0,0.0,1.0,0.0,0.112,300000.0,3.291286205248263
1730,Simon Wæver,Sönderjyske Fodbold,superliga,Denmark,30,Defender,917.0,0.0,0.0,0.0,0.0,100000.0,3.2776325628481104
1731,Andreas Cornelius,FC Copenhagen,superliga,Denmark,33,Attack,493.0,0.0,0.0,0.0,0.0,250000.0,3.247794669150454
1732,Andreas Oggesen,Sönderjyske Fodbold,superliga,Denmark,32,Defender,1574.0,0.0,3.0,0.0,0.172,200000.0,3.2046212461381405
1733,Hüseyin Türkmen,Antalyaspor,super-lig,Türkiye,28,Defender,1431.0,0.0,0.0,0.0,0.0,300000.0,3.164101345212047
1734,Patrick Mortensen,Aarhus GF,superliga,Denmark,37,Attack,1811.0,7.0,0.0,0.348,0.0,200000.0,3.1372010804529804
1735,Nikolaos Kaltsas,A.G.S Asteras Tripolis,super-league-1,Greece,36,Attack,1306.0,2.0,1.0,0.138,0.069,125000.0,3.115474591277925
1736,Iván Márquez,Fortuna Sittardia Combinatie,eredivisie,Netherlands,32,Defender,2502.0,1.0,0.0,0.036,0.0,450000.0,3.1026419346170098
1737,Gustav Granath,Panetolikos Agrinio,super-league-1,Greece,29,Defender,819.0,0.0,0.0,0.0,0.0,400000.0,3.0989299277131135
1738,Thomas Henry,Standard Liège,jupiler-pro-league,Belgium,32,Attack,1361.0,3.0,2.0,0.198,0.132,500000.0,3.0861058076819816
1739,Giannis Doiranlis,Panserraikos Serres,super-league-1,Greece,24,Midfield,1024.0,0.0,0.0,0.0,0.0,400000.0,3.0651201196555435
1740,Giannis Kotsiras,Panathinaikos Athlitikos Omilos,super-league-1,Greece,34,Defender,608.0,0.0,0.0,0.0,0.0,450000.0,3.055795219453431
1741,Moudjatovic,CD Tondela,liga-portugal,Portugal,24,Attack,557.0,0.0,0.0,0.0,0.0,200000.0,3.0533200397547464
