test_season,model,roc_auc,average_precision,precision,recall,f1,precision_at_10,precision_at_20,precision_at_50,recall_at_10,recall_at_20,recall_at_50
2018,Logistic Regression,0.8664444043971886,0.448370350853814,0.2459016393442623,0.7741935483870968,0.37325038880248834,0.8,0.75,0.64,0.05161290322580645,0.0967741935483871,0.2064516129032258
2018,Random Forest,0.8665092809515228,0.43561338998397336,0.328125,0.6774193548387096,0.4421052631578947,0.6,0.7,0.64,0.03870967741935484,0.09032258064516129,0.2064516129032258
2019,Logistic Regression,0.8631878958479944,0.48317122828935966,0.29767441860465116,0.7314285714285714,0.4231404958677686,0.8,0.65,0.74,0.045714285714285714,0.07428571428571429,0.21142857142857144
2019,Random Forest,0.8613581984517946,0.4814707701383103,0.3713235294117647,0.5771428571428572,0.4519015659955257,0.9,0.8,0.72,0.05142857142857143,0.09142857142857143,0.2057142857142857
2020,Logistic Regression,0.8809066414466068,0.4625686206731931,0.30633802816901406,0.7945205479452054,0.44218551461245237,0.6,0.7,0.62,0.0273972602739726,0.0639269406392694,0.1415525114155251
2020,Random Forest,0.8795372710122012,0.4718724269860426,0.3765281173594132,0.7031963470319634,0.49044585987261147,0.9,0.75,0.56,0.0410958904109589,0.0684931506849315,0.1278538812785388
2021,Logistic Regression,0.8423790103755286,0.4246967891087752,0.3055555555555556,0.7787610619469026,0.4389027431421446,0.7,0.7,0.6,0.030973451327433628,0.061946902654867256,0.13274336283185842
2021,Random Forest,0.8333360199021014,0.4148031777626606,0.3318077803203661,0.6415929203539823,0.4374057315233786,0.6,0.7,0.66,0.02654867256637168,0.061946902654867256,0.14601769911504425
2022,Logistic Regression,0.8536243365066921,0.4232755193679545,0.29549248747913187,0.8388625592417062,0.43703703703703706,0.5,0.6,0.64,0.023696682464454975,0.05687203791469194,0.15165876777251186
2022,Random Forest,0.8513526568714858,0.4145871093083273,0.32196162046908317,0.7156398104265402,0.4441176470588235,0.5,0.65,0.62,0.023696682464454975,0.061611374407582936,0.14691943127962084
