model,roc_auc,average_precision,precision,recall,f1,precision_at_10,precision_at_20,precision_at_50,recall_at_10,recall_at_20,recall_at_50
Random Forest,0.8584186854378212,0.44366937483586283,0.34594920951212543,0.6629982579588105,0.45319521352164677,0.7,0.72,0.64,0.03629589885794236,0.07476051596422288,0.16659138205814308
Logistic Regression,0.861308457714802,0.4484165016586193,0.29019242583052296,0.7835532577898965,0.42290323589237816,0.6799999999999999,0.6799999999999999,0.648,0.03587891660119068,0.070761157808586,0.16876696527033852
