scouting_rank,player_name,club_name,competition_name,country_name,age_at_season_end,position,minutes,goals,assists,goals_per90,assists_per90,market_value_m,breakout_probability_pct
199,Alexander Lyng,Sönderjyske Fodbold,superliga,Denmark,22,Attack,1305.0,3.0,1.0,0.207,0.069,1.2,46.714592236259634
200,Justin Hubner,Fortuna Sittardia Combinatie,eredivisie,Netherlands,23,Defender,1490.0,2.0,1.0,0.121,0.06,1.0,46.474635821777404
201,Charly Nouck,Viborg FF,superliga,Denmark,22,Attack,1020.0,5.0,4.0,0.441,0.353,1.2,45.37722923910885
202,Henrique Silva,CD Santa Clara,liga-portugal,Portugal,21,Defender,1031.0,0.0,0.0,0.0,0.0,0.5,45.32746039682073
203,Adam Nygaard,FC Fredericia,superliga,Denmark,21,Defender,1006.0,0.0,0.0,0.0,0.0,0.5,44.89771785074882
204,Brayann Pereira,NEC Nijmegen,eredivisie,Netherlands,23,Defender,1165.0,0.0,2.0,0.0,0.155,1.0,44.88731298082664
205,Aske Adelgaard,Go Ahead Eagles,eredivisie,Netherlands,23,Defender,1561.0,1.0,1.0,0.058,0.058,1.0,44.70959355577785
206,Lequincio Zeefuik,Heracles Almelo,eredivisie,Netherlands,22,Attack,1061.0,2.0,1.0,0.17,0.085,0.85,44.55562198507749
207,Lennard Hartjes,Excelsior Rotterdam,eredivisie,Netherlands,23,Midfield,1565.0,1.0,0.0,0.058,0.0,0.8,44.4801292380591
208,Isaac James,FC Alverca,liga-portugal,Portugal,22,Defender,1305.0,0.0,2.0,0.0,0.138,0.6,43.16229846202189
209,Rio Hillen,NAC Breda,eredivisie,Netherlands,23,Defender,2005.0,0.0,1.0,0.0,0.045,0.6,42.02948213395111
210,Mateusz Legowski,Eyüpspor,super-lig,Türkiye,23,Midfield,1565.0,2.0,1.0,0.115,0.058,2.0,41.87438397906941
211,Jochem Ritmeester van de Kamp,SC Telstar,eredivisie,Netherlands,23,Midfield,2045.0,7.0,1.0,0.308,0.044,1.5,41.82164605563319
212,Landerson,Moreirense FC,liga-portugal,Portugal,20,Attack,1289.0,0.0,2.0,0.0,0.14,1.0,41.727938690231895
213,Giannis Apostolakis,Omilos Filathlon Irakliou FC,super-league-1,Greece,22,Midfield,1488.0,1.0,0.0,0.06,0.0,1.2,41.136996912210535
214,Lewis Schouten,Excelsior Rotterdam,eredivisie,Netherlands,22,Defender,1355.0,1.0,0.0,0.066,0.0,0.7,40.86247079078752
215,Marwan Al-Sahafi,Royal Antwerp FC,jupiler-pro-league,Belgium,22,Attack,1196.0,1.0,0.0,0.075,0.0,1.0,40.46023368577587
216,Djé,CD Santa Clara,liga-portugal,Portugal,23,Midfield,954.0,0.0,1.0,0.0,0.094,0.8,39.75810830431757
217,Yannick Cappelle,Zulte Waregem,jupiler-pro-league,Belgium,23,Defender,1757.0,1.0,1.0,0.051,0.051,0.65,39.48067853278553
218,Antonio Espigares,Gil Vicente FC,liga-portugal,Portugal,22,Defender,972.0,1.0,1.0,0.093,0.093,0.5,39.15690026386763
219,Brandon Aguilera,Rio Ave FC,liga-portugal,Portugal,23,Midfield,1378.0,1.0,0.0,0.065,0.0,1.5,39.07569504799356
220,Nordin Bukala,FC Volendam,eredivisie,Netherlands,21,Midfield,1751.0,2.0,1.0,0.103,0.051,0.6,38.511055166057055
221,Nils Rossen,SC Telstar,eredivisie,Netherlands,22,Midfield,2333.0,3.0,1.0,0.116,0.039,0.7,38.50297237554976
222,Göktan Gürpüz,Gençlerbirliği Spor Kulübü,super-lig,Türkiye,23,Midfield,1940.0,0.0,6.0,0.0,0.278,2.0,38.41848432627799
223,Diogo Spencer,Avs Futebol,liga-portugal,Portugal,22,Defender,1006.0,1.0,2.0,0.089,0.179,0.9,38.30277338772922
224,Konstantinos Kostoulas,Omilos Filathlon Irakliou FC,super-league-1,Greece,21,Defender,984.0,0.0,1.0,0.0,0.091,0.8,37.30829204170678
225,Baran Gezek,Eyüpspor,super-lig,Türkiye,21,Midfield,1383.0,0.0,0.0,0.0,0.0,1.5,36.468710925955705
226,Gustavo Mendonça,Avs Futebol,liga-portugal,Portugal,23,Midfield,1401.0,0.0,0.0,0.0,0.0,0.5,36.10109941027629
227,Mimeirhel Benita,Heracles Almelo,eredivisie,Netherlands,23,Defender,1448.0,0.0,1.0,0.0,0.062,0.5,35.4003385753538
228,Juan Castillo,Vitória Guimarães SC,liga-portugal,Portugal,23,Goalkeeper,1350.0,0.0,0.0,0.0,0.0,0.5,35.30304951406629
229,David Martínez,Volou Neos Podosferikos Syllogos,super-league-1,Greece,22,Midfield,1150.0,2.0,0.0,0.157,0.0,1.2,35.234444021273895
230,Joelson Fernandes,Gil Vicente FC,liga-portugal,Portugal,23,Attack,1013.0,1.0,3.0,0.089,0.267,1.0,35.2143591902311
231,Thiago Balieiro,Vitória Guimarães SC,liga-portugal,Portugal,23,Defender,1170.0,1.0,0.0,0.077,0.0,1.0,35.10568871809184
232,Jankat Yılmaz,Eyüpspor,super-lig,Türkiye,22,Goalkeeper,1260.0,0.0,0.0,0.0,0.0,1.5,33.6231210720952
233,Pedro Carvalho,GD Estoril Praia,liga-portugal,Portugal,23,Defender,1249.0,0.0,1.0,0.0,0.072,0.8,32.947803809871075
234,Jerolldino Bergraaf,Excelsior Rotterdam,eredivisie,Netherlands,20,Attack,1046.0,0.0,1.0,0.0,0.086,0.3,32.931356582878315
235,Oluwaseun Adewumi,Cercle Brugge,jupiler-pro-league,Belgium,21,Midfield,1433.0,4.0,0.0,0.251,0.0,0.8,31.556475946487183
236,Juho Talvitie,NAC Breda,eredivisie,Netherlands,21,Attack,1395.0,3.0,2.0,0.194,0.129,0.7,31.51455754299669
237,Lukas Willen,Zulte Waregem,jupiler-pro-league,Belgium,23,Defender,1055.0,0.0,1.0,0.0,0.085,0.6,31.190512408881386
238,Hyun-ju Lee,FC Arouca,liga-portugal,Portugal,23,Midfield,2024.0,7.0,3.0,0.311,0.133,2.5,30.586598935284297
239,Jakob Napoleon Romsaas,Royal Charleroi Sporting Club,jupiler-pro-league,Belgium,22,Midfield,1499.0,1.0,4.0,0.06,0.24,1.2,30.584172030223765
240,Bartuğ Elmaz,Fatih Karagümrük,super-lig,Türkiye,23,Midfield,1042.0,1.0,0.0,0.086,0.0,1.5,29.902479032075615
241,Anıl Yiğit Çınar,Fatih Karagümrük,super-lig,Türkiye,23,Defender,1100.0,2.0,0.0,0.164,0.0,0.5,29.615281345370747
242,Tunde Akinsola,Avs Futebol,liga-portugal,Portugal,23,Attack,2443.0,1.0,4.0,0.037,0.147,0.8,27.180170838187472
243,Mohamed Nassoh,NAC Breda,eredivisie,Netherlands,23,Midfield,1826.0,5.0,1.0,0.246,0.049,0.7,26.59013653611697
244,Jeppe Kudsk,FC Fredericia,superliga,Denmark,23,Defender,1093.0,1.0,0.0,0.082,0.0,0.4,25.91598441463421
245,Hugo Félix,CD Tondela,liga-portugal,Portugal,22,Midfield,1335.0,0.0,2.0,0.0,0.135,0.8,24.999425316426446
246,Aurelio Oehlers,FC Volendam,eredivisie,Netherlands,22,Attack,1538.0,4.0,1.0,0.234,0.059,0.5,23.724533215206463
247,Mattheos Mountes,APS Atromitos Athinon,super-league-1,Greece,23,Defender,1439.0,0.0,0.0,0.0,0.0,0.6,21.63619796194224
248,Luís Semedo,Moreirense FC,liga-portugal,Portugal,23,Attack,989.0,3.0,0.0,0.273,0.0,0.6,17.890384515866106
249,Jin-ho Jo,Konyaspor,super-lig,Türkiye,23,Midfield,1101.0,1.0,1.0,0.082,0.082,1.0,17.86014381628538
250,Timo Jansink,Heracles Almelo,eredivisie,Netherlands,23,Goalkeeper,1350.0,0.0,0.0,0.0,0.0,0.15,16.607992424069145
251,Devon Koswal,SC Telstar,eredivisie,Netherlands,23,Defender,1638.0,0.0,0.0,0.0,0.0,0.45,15.720946633635576
252,Joel Ideho,FC Volendam,eredivisie,Netherlands,23,Attack,1132.0,1.0,1.0,0.08,0.08,0.3,15.47498192429925
253,Tristan van Gilst,Heracles Almelo,eredivisie,Netherlands,23,Attack,1258.0,2.0,0.0,0.143,0.0,0.35,14.889789809339318
254,Kaly,Casa Pia AC,liga-portugal,Portugal,23,Defender,992.0,0.0,0.0,0.0,0.0,0.4,10.679682035269934
255,Panagiotis Tsantilas,APS Atromitos Athinon,super-league-1,Greece,22,Attack,1020.0,3.0,0.0,0.265,0.0,0.5,7.62998326280639
256,Bedirhan Özyurt,Eyüpspor,super-lig,Türkiye,23,Defender,908.0,0.0,1.0,0.0,0.099,0.2,7.442650467798996
