scouting_rank,player_name,club_name,competition_name,country_name,age_at_season_end,position,minutes,goals,assists,goals_per90,assists_per90,market_value_m,breakout_probability_pct
84,Ümit Akdağ,Alanyaspor,super-lig,Türkiye,23,Defender,2624.0,1.0,2.0,0.034,0.069,6.0,76.1054430529899
85,Pedro Bravo,FC Midtjylland,superliga,Denmark,22,Midfield,1151.0,0.0,0.0,0.0,0.0,3.5,76.01344881019978
86,Jorne Spileers,Club Brugge KV,jupiler-pro-league,Belgium,21,Defender,1123.0,0.0,0.0,0.0,0.0,3.0,75.93046470980391
87,Amin Chiakha,Vejle Boldklub,superliga,Denmark,20,Attack,976.0,2.0,0.0,0.184,0.0,3.5,75.84914487749133
88,Edan Diop,Cercle Brugge,jupiler-pro-league,Belgium,22,Midfield,2227.0,5.0,1.0,0.202,0.04,3.0,75.77077729824364
89,Miguel Rodríguez,FC Utrecht,eredivisie,Netherlands,23,Attack,1350.0,3.0,0.0,0.2,0.0,4.5,75.76548697943235
90,Chibuike Nwaiwu,Trabzonspor,super-lig,Türkiye,23,Defender,1310.0,3.0,1.0,0.206,0.069,10.0,75.48438701946588
91,Jacob Ambæk,Bröndby IF,superliga,Denmark,18,Attack,950.0,3.0,0.0,0.284,0.0,4.0,75.10346294905692
92,Mauricio Benítez,Royal Antwerp FC,jupiler-pro-league,Belgium,22,Midfield,1096.0,3.0,0.0,0.246,0.0,2.5,75.10184470375837
93,Tristan Degreef,RSC Anderlecht,jupiler-pro-league,Belgium,21,Attack,1070.0,3.0,2.0,0.252,0.168,3.0,74.53498429100345
94,Myron van Brederode,KV Mechelen,jupiler-pro-league,Belgium,23,Attack,1953.0,7.0,3.0,0.323,0.138,4.5,74.48122483411125
95,Kaique Pereira,CD Nacional,liga-portugal,Portugal,23,Goalkeeper,2520.0,0.0,0.0,0.0,0.0,2.0,74.08523075990425
96,David van der Werff,FC Groningen,eredivisie,Netherlands,22,Attack,2062.0,3.0,2.0,0.131,0.087,2.0,73.93675457234627
97,Maksim Paskotsi,KAA Gent,jupiler-pro-league,Belgium,23,Defender,1813.0,4.0,2.0,0.199,0.099,3.5,73.51799629482389
98,Noah Markmann,FC Nordsjaelland,superliga,Denmark,19,Defender,1556.0,0.0,0.0,0.0,0.0,2.5,73.38963088007714
99,Mads Enggård,Vejle Boldklub,superliga,Denmark,22,Midfield,967.0,0.0,1.0,0.0,0.093,2.5,73.28409445767942
100,Benjamin Tahirović,Bröndby IF,superliga,Denmark,23,Midfield,1040.0,1.0,1.0,0.087,0.087,4.5,73.01369450185636
101,Filip Bundgaard,Bröndby IF,superliga,Denmark,22,Attack,1039.0,4.0,1.0,0.346,0.087,2.5,72.69768484540626
102,Étienne Camara,Royal Charleroi Sporting Club,jupiler-pro-league,Belgium,23,Midfield,2353.0,1.0,3.0,0.038,0.115,4.0,72.6847911421004
103,Julius Berthel Askou,Odense Boldklub,superliga,Denmark,20,Defender,1311.0,0.0,0.0,0.0,0.0,2.5,72.63116696231016
104,Shola Shoretire,PEC Zwolle,eredivisie,Netherlands,22,Attack,1652.0,5.0,1.0,0.272,0.054,2.0,72.508920766607
105,Laurits Pedersen,Randers FC,superliga,Denmark,20,Midfield,980.0,0.0,0.0,0.0,0.0,1.0,72.49676895194419
106,Weslley Patati,AZ Alkmaar,eredivisie,Netherlands,23,Attack,1448.0,2.0,4.0,0.124,0.249,4.5,72.37616694021172
107,Taichi Fukui,FC Arouca,liga-portugal,Portugal,22,Midfield,2531.0,4.0,3.0,0.142,0.107,5.0,72.19628074692152
108,Olti Hyseni,Sönderjyske Fodbold,superliga,Denmark,19,Attack,955.0,2.0,2.0,0.188,0.188,2.5,71.9266774853829
109,Christian Marques,CD Tondela,liga-portugal,Portugal,23,Defender,2716.0,0.0,0.0,0.0,0.0,2.0,71.91043619309023
110,Emmanuel Kakou,Cercle Brugge,jupiler-pro-league,Belgium,21,Defender,1428.0,2.0,1.0,0.126,0.063,2.0,71.81341356132613
111,Marcus Linday,SC Heerenveen,eredivisie,Netherlands,23,Midfield,2308.0,1.0,3.0,0.039,0.117,5.0,71.77848620530979
112,Pape Moussa Fall,RAAL La Louvière,jupiler-pro-league,Belgium,22,Attack,1311.0,8.0,1.0,0.549,0.069,3.5,71.7739798496175
113,Alan Minda,Cercle Brugge,jupiler-pro-league,Belgium,23,Attack,969.0,3.0,3.0,0.279,0.279,3.0,71.29683638385188
114,Gabri Martínez,SC Braga,liga-portugal,Portugal,23,Attack,1321.0,1.0,5.0,0.068,0.341,7.0,70.77426696087662
115,Anselmo García MacNulty,PEC Zwolle,eredivisie,Netherlands,23,Defender,2845.0,2.0,0.0,0.063,0.0,1.5,70.67168078872874
116,Arthur Piedfort,KVC Westerlo,jupiler-pro-league,Belgium,21,Midfield,2246.0,2.0,3.0,0.08,0.12,4.0,70.50935819052356
117,Kristian Hlynsson,FC Twente Enschede,eredivisie,Netherlands,22,Midfield,2572.0,10.0,4.0,0.35,0.14,6.0,69.80695157435656
118,Adnane Abid,Standard Liège,jupiler-pro-league,Belgium,23,Attack,1313.0,2.0,1.0,0.137,0.069,2.5,69.75335426237461
119,Uchenna Ogundu,Alanyaspor,super-lig,Türkiye,20,Attack,987.0,2.0,2.0,0.182,0.182,4.0,69.6620178329858
120,Srdjan Kuzmic,Viborg FF,superliga,Denmark,22,Defender,1210.0,3.0,1.0,0.223,0.074,2.0,69.15436446635913
121,Mathis Servais,KV Mechelen,jupiler-pro-league,Belgium,22,Midfield,1928.0,2.0,3.0,0.093,0.14,4.0,69.14633340047439
122,Noah Mbamba,FCV Dender EH,jupiler-pro-league,Belgium,21,Midfield,2432.0,1.0,2.0,0.037,0.074,2.0,69.09521161932031
123,Yaya Bojang,Odense Boldklub,superliga,Denmark,22,Defender,927.0,0.0,1.0,0.0,0.097,0.8,67.8269106886656
124,Isa Sakamoto,KVC Westerlo,jupiler-pro-league,Belgium,23,Midfield,2395.0,4.0,4.0,0.15,0.15,4.0,67.65224972532948
125,Ro-Zangelo Daal,AZ Alkmaar,eredivisie,Netherlands,22,Attack,1357.0,1.0,0.0,0.066,0.0,3.0,67.23095245019947
126,Tony Strata,Vitória Guimarães SC,liga-portugal,Portugal,22,Defender,1404.0,1.0,1.0,0.064,0.064,2.0,67.16905063410826
127,Milan Smit,Go Ahead Eagles,eredivisie,Netherlands,23,Attack,1362.0,6.0,2.0,0.396,0.132,2.0,66.88923435118758
128,Adrian Blake,FC Utrecht,eredivisie,Netherlands,21,Attack,971.0,2.0,2.0,0.185,0.185,2.0,66.81964801619682
129,Tobias Lauritsen,Vejle Boldklub,superliga,Denmark,22,Midfield,921.0,0.0,1.0,0.0,0.098,0.8,66.50951212196773
130,Josimar Alcócer,KVC Westerlo,jupiler-pro-league,Belgium,22,Attack,1963.0,3.0,3.0,0.138,0.138,3.0,66.44708373479223
131,Martin Delavallée,Royal Charleroi Sporting Club,jupiler-pro-league,Belgium,22,Goalkeeper,1890.0,0.0,0.0,0.0,0.0,1.5,66.26889916386048
132,Casper Widell,Excelsior Rotterdam,eredivisie,Netherlands,23,Defender,3054.0,1.0,1.0,0.029,0.029,1.5,66.18656047089691
133,Jorg Schreuders,FC Groningen,eredivisie,Netherlands,22,Attack,2830.0,1.0,3.0,0.032,0.095,1.7,66.16408615410225
134,Kacper Kozlowski,Gaziantep FK,super-lig,Türkiye,23,Midfield,2653.0,6.0,3.0,0.204,0.102,6.0,66.16142559216908
135,Tom de Graaff,PEC Zwolle,eredivisie,Netherlands,22,Goalkeeper,2790.0,0.0,0.0,0.0,0.0,1.0,65.9919757455915
136,Tygo Land,FC Groningen,eredivisie,Netherlands,20,Midfield,1525.0,3.0,1.0,0.177,0.059,2.5,65.22918369745307
137,Thom van Bergen,FC Groningen,eredivisie,Netherlands,22,Attack,2977.0,9.0,5.0,0.272,0.151,3.0,64.63067849152398
138,Emran Soglo,Zulte Waregem,jupiler-pro-league,Belgium,21,Defender,1038.0,0.0,3.0,0.0,0.26,0.7,64.28196032513833
139,Mads Freundlich,Silkeborg IF,superliga,Denmark,23,Midfield,1164.0,0.0,0.0,0.0,0.0,1.5,63.974155877885785
140,Nick Verschuren,FC Volendam,eredivisie,Netherlands,21,Defender,2676.0,0.0,1.0,0.0,0.034,1.0,63.68568712364898
141,Cedric Hatenboer,SC Telstar,eredivisie,Netherlands,21,Midfield,1146.0,0.0,3.0,0.0,0.236,2.0,63.20064721112095
142,Kazeem Olaigbe,Konyaspor,super-lig,Türkiye,23,Attack,951.0,0.0,0.0,0.0,0.0,4.0,62.20690195501204
143,Jerry Afriyie,RAAL La Louvière,jupiler-pro-league,Belgium,20,Attack,2049.0,5.0,1.0,0.22,0.044,1.2,62.09134665827851
144,Mateja Stjepanović,Moreirense FC,liga-portugal,Portugal,22,Midfield,2412.0,1.0,0.0,0.037,0.0,3.0,61.808173687177934
145,Gustavo Varela,Gil Vicente FC,liga-portugal,Portugal,21,Attack,1522.0,6.0,3.0,0.355,0.177,3.0,61.07859054334004
146,Philip Brittijn,Fortuna Sittardia Combinatie,eredivisie,Netherlands,22,Midfield,2408.0,4.0,1.0,0.15,0.037,1.6,61.01231651087915
147,Gilberto Batista,Moreirense FC,liga-portugal,Portugal,23,Defender,1933.0,0.0,0.0,0.0,0.0,1.5,60.98290069635948
148,Tika de Jonge,FC Groningen,eredivisie,Netherlands,23,Midfield,2051.0,3.0,1.0,0.132,0.044,1.8,60.6576492269373
149,Tristan Gooijer,PEC Zwolle,eredivisie,Netherlands,22,Defender,1371.0,3.0,0.0,0.197,0.0,1.5,60.56525066192068
150,Nelson Abbey,Rio Ave FC,liga-portugal,Portugal,23,Defender,2091.0,0.0,1.0,0.0,0.043,1.5,60.21934426913064
151,Jakob Breum,Go Ahead Eagles,eredivisie,Netherlands,23,Midfield,2041.0,6.0,6.0,0.265,0.265,5.0,60.17922592460832
152,Max Ejdum,Odense Boldklub,superliga,Denmark,22,Midfield,1250.0,1.0,3.0,0.072,0.216,2.0,60.16473670084597
153,Jakob Jessen,FC Fredericia,superliga,Denmark,22,Defender,1678.0,0.0,3.0,0.0,0.161,0.8,60.11792269409752
154,Noé Lebreton,NEC Nijmegen,eredivisie,Netherlands,22,Midfield,1432.0,5.0,4.0,0.314,0.251,4.0,59.80087659261768
155,Pedro Bondo,FC Famalicão,liga-portugal,Portugal,22,Defender,1178.0,0.0,0.0,0.0,0.0,2.0,59.76248485222165
